0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	3
35	1
36	4
37	27
38	62
39	80
40	146
41	152
42	160
43	147
44	167
45	140
46	159
47	154
48	169
49	187
50	199
51	226
52	254
53	259
54	257
55	268
56	232
57	265
58	241
59	226
60	225
61	200
62	176
63	195
64	169
65	165
66	132
67	147
68	139
69	140
70	145
71	158
72	150
73	144
74	148
75	170
76	166
77	175
78	165
79	188
80	179
81	162
82	157
83	166
84	146
85	151
86	144
87	147
88	162
89	153
90	157
91	167
92	163
93	180
94	174
95	191
96	162
97	175
98	162
99	186
100	198
101	218
102	190
103	194
104	208
105	199
106	191
107	191
108	189
109	204
110	175
111	216
112	203
113	210
114	181
115	190
116	204
117	211
118	212
119	191
120	193
121	222
122	221
123	224
124	211
125	224
126	189
127	251
128	239
129	209
130	216
131	251
132	274
133	247
134	246
135	268
136	242
137	246
138	230
139	235
140	250
141	211
142	247
143	239
144	217
145	244
146	229
147	235
148	242
149	233
150	247
151	218
152	257
153	277
154	231
155	211
156	229
157	242
158	250
159	243
160	221
161	229
162	242
163	267
164	190
165	232
166	230
167	226
168	224
169	230
170	254
171	208
172	227
173	231
174	212
175	237
176	232
177	243
178	221
179	225
180	223
181	226
182	228
183	208
184	213
185	199
186	211
187	216
188	224
189	244
190	215
191	199
192	221
193	213
194	226
195	216
196	218
197	202
198	197
199	206
200	232
201	185
202	201
203	194
204	211
205	230
206	175
207	191
208	192
209	195
210	198
211	195
212	192
213	188
214	197
215	166
216	212
217	204
218	199
219	176
220	189
221	184
222	193
223	187
224	169
225	176
226	182
227	192
228	185
229	176
230	152
231	168
232	151
233	181
234	169
235	155
236	152
237	148
238	152
239	143
240	145
241	163
242	135
243	144
244	136
245	153
246	146
247	121
248	118
249	111
250	103
251	118
252	93
253	118
254	118
255	117
256	112
257	100
258	112
259	105
260	106
261	103
262	105
263	107
264	91
265	85
266	100
267	76
268	87
269	90
270	85
271	107
272	84
273	101
274	103
275	99
276	81
277	88
278	72
279	70
280	81
281	73
282	88
283	75
284	83
285	70
286	67
287	75
288	68
289	73
290	64
291	79
292	60
293	81
294	68
295	86
296	75
297	69
298	65
299	76
300	82
301	56
302	83
303	80
304	66
305	78
306	67
307	66
308	68
309	75
310	62
311	65
312	68
313	65
314	58
315	58
316	66
317	57
318	69
319	59
320	61
321	63
322	80
323	72
324	60
325	59
326	82
327	76
328	70
329	75
330	73
331	86
332	62
333	105
334	77
335	97
336	87
337	101
338	103
339	144
340	132
341	151
342	150
343	172
344	196
345	227
346	243
347	295
348	277
349	324
350	334
351	379
352	419
353	446
354	456
355	510
356	525
357	623
358	583
359	644
360	643
361	661
362	675
363	724
364	709
365	821
366	752
367	791
368	704
369	752
370	796
371	770
372	738
373	750
374	670
375	726
376	656
377	627
378	659
379	573
380	510
381	510
382	471
383	431
384	385
385	339
386	330
387	255
388	238
389	233
390	190
391	181
392	150
393	120
394	111
395	131
396	99
397	74
398	52
399	53
400	61
401	54
402	38
403	39
404	38
405	43
406	27
407	30
408	40
409	33
410	27
411	31
412	32
413	22
414	38
415	18
416	32
417	40
418	17
419	23
420	22
421	48
422	21
423	33
424	37
425	25
426	26
427	36
428	41
429	41
430	26
431	28
432	34
433	37
434	21
435	26
436	40
437	44
438	29
439	29
440	37
441	38
442	23
443	38
444	29
445	28
446	30
447	27
448	30
449	29
450	29
451	23
452	26
453	17
454	18
455	18
456	33
457	27
458	18
459	20
460	28
461	24
462	23
463	29
464	39
465	28
466	29
467	31
468	29
469	37
470	35
471	27
472	22
473	35
474	23
475	31
476	22
477	24
478	31
479	33
480	25
481	24
482	24
483	37
484	31
485	31
486	34
487	21
488	20
489	25
490	25
491	30
492	24
493	19
494	30
495	26
496	28
497	29
498	27
499	25
500	26
501	31
502	36
503	26
504	25
505	31
506	29
507	32
508	26
509	36
510	22
511	21
512	31
513	28
514	22
515	20
516	24
517	20
518	19
519	23
520	28
521	21
522	25
523	26
524	28
525	15
526	30
527	29
528	22
529	22
530	22
531	28
532	25
533	32
